<level>
  <bossRegion x="4250" y ="150" z="50" r="90" />
  <endRegion x="5000" y="100" z="50" r="75" />
  <audiofile>
		<file>Level1.ogg</file>
  </audiofile>
  <bossAreaCenter x="4250" y="125" z="50" />
  <bossAreaBounds x="100" y="200" z="100" />
  <bossSpawn x="3850" y="100" z="50" />
	<backgroundlist>
		<background>
      <scale x="250" y="96.43" z="1"/>
			<sprite>zoo_side_background_sprite.dat</sprite>
			<speed>0.75</speed>
      <loc x="75" y="20" z="-150"/>
      <loc x="325" y="20" z="-150"/>
      <loc x="575" y="20" z="-150"/>
      <loc x="825" y="20" z="-150"/>
      <loc x="1075" y="20" z="-150"/>
      <loc x="1325" y="20" z="-150"/>
      <loc x="1575" y="20" z="-150"/>
      <loc x="1825" y="20" z="-150"/>
      <loc x="2075" y="20" z="-150"/>
      <loc x="2325" y="20" z="-150"/>
		</background>
    <background>
      <scale x="75" y="57.86" z="1"/>
      <sprite>city_side_background_sprite.dat</sprite>
      <speed>0.9</speed>
      <loc x="-20" y="30" z="-200"/>
      <loc x="55" y="30" z="-200"/>
      <loc x="130" y="30" z="-200"/>
      <loc x="205" y="30" z="-200"/>
      <loc x="280" y="30" z="-200"/>
      <loc x="355" y="30" z="-200"/>
      <loc x="430" y="30" z="-200"/>
      <loc x="505" y="30" z="-200"/>
      <loc x="580" y="30" z="-200"/>
      <loc x="655" y="30" z="-200"/>
      <loc x="730" y="30" z="-200"/>
      <loc x="805" y="30" z="-200"/>
      <loc x="880" y="30" z="-200"/>
      <loc x="955" y="30" z="-200"/>
      <loc x="1030" y="30" z="-200"/>
      <loc x="1105" y="30" z="-200"/>
      <loc x="1180" y="30" z="-200"/>
      <loc x="1255" y="30" z="-200"/>
      <loc x="1330" y="30" z="-200"/>
      <loc x="1405" y="30" z="-200"/>
      <loc x="1480" y="30" z="-200"/>
      <loc x="1555" y="30" z="-200"/>
      <loc x="1630" y="30" z="-200"/>
      <loc x="1705" y="30" z="-200"/>
      <loc x="1780" y="30" z="-200"/>
      <loc x="1855" y="30" z="-200"/>
      <loc x="1930" y="30" z="-200"/>
      <loc x="2005" y="30" z="-200"/>
      <loc x="2080" y="30" z="-200"/>
    </background>
	</backgroundlist>
	<enemylist>
		<enemy>
			<path>Boy.dat</path>
      <loc x="200" y="17.5" z="50"/>
      <loc x="500" y="17.5" z="50"/>
      <loc x="800" y="62.5" z="50"/>
      <loc x="1100" y="112.5" z="50"/>
      <loc x="2200" y="-62.5" z="40"/>
			<loc x="2300" y="-62.5" z="140"/>			
		</enemy>
		<enemy>
			<path>Bird.dat</path>
			<loc x="200" y="60" z="50"/>
		</enemy>
		<enemy>
		  <path>Girl.dat</path>
		  <loc x="400" y="17.5" z="160"/>
		</enemy>
	</enemylist>
	<obstaclelist>
		<obstacle>
			<path>test_obstacle.dat</path>
			<loc x="50" y="-50" z="50"/>
			<loc x="150" y="-50" z="50"/>
			<loc x="250" y="-50" z="50"/>
			<loc x="250" y="-50" z="150"/>
			<loc x="250" y="-50" z="-50"/>
			<loc x="350" y="-50" z="-50"/>
			<loc x="350" y="-50" z="150"/>
			<loc x="450" y="-50" z="-50"/>
			<loc x="450" y="-50" z="50"/>
			<loc x="450" y="-50" z="150"/>
			<loc x="550" y="-50" z="50"/>			
			<loc x="700" y="-25" z="50"/>
			<loc x="850" y="0" z="50"/>
			<loc x="1000" y="25" z="50"/>
			<loc x="1100" y="25" z="50"/>
			<loc x="1250" y="0" z="50"/>
			<loc x="1350" y="0" z="50"/>
			<loc x="1500" y="-50" z="50"/>
			<loc x="1600" y="-50" z="50"/>
			<loc x="1700" y="-50" z="50"/>
			<loc x="1800" y="-25" z="-40"/>
			
			<loc x="1800" y="75" z="190"/>
			<loc x="1800" y="-125" z="140"/>			
			<loc x="1900" y="-125" z="140"/>			
			<loc x="2000" y="-125" z="140"/>			
			<loc x="2100" y="-125" z="140"/>
			<loc x="2100" y="-125" z="40"/>
			<loc x="2100" y="-125" z="-60"/>
			<loc x="2200" y="-125" z="140"/>	
			<loc x="2200" y="-125" z="40"/>	
			<loc x="2200" y="-125" z="-60"/>
			<loc x="2300" y="-125" z="140"/>	
			<loc x="2300" y="-125" z="40"/>	
			<loc x="2300" y="-125" z="-60"/>					
			<loc x="2400" y="-75" z="-60"/>			
			<loc x="2500" y="-25" z="-60"/>
			<loc x="2600" y="-25" z="-60"/>
			<loc x="2600" y="-25" z="40"/>
			<loc x="2700" y="-25" z="40"/>
			<loc x="2700" y="-25" z="-60"/>
			<loc x="2800" y="-25" z="-60"/>
			<loc x="2800" y="-25" z="40"/>
			<loc x="2900" y="25" z="40"/>
			<loc x="2900" y="25" z="-60"/>
			<loc x="3000" y="25" z="-60"/>
			<loc x="3100" y="25" z="-60"/>
			<loc x="3200" y="25" z="-60"/>
			
			<loc x="3300" y="-125" z="-50"/>
			<loc x="3400" y="-125" z="-50"/>
			<loc x="3400" y="-125" z="50"/>	
			<loc x="3500" y="-75" z="50"/>	
			<loc x="3600" y="-25" z="50"/>		
			
			<loc x="3700" y="25" z="50"/>
			<loc x="3800" y="75" z="50"/>
			<loc x="3900" y="75" z="50"/>


      <!--Boss encounter area-->
  <!--<loc x="4100" y="75" z="0"/>
			<loc x="4100" y="75" z="100"/>
			<loc x="4200" y="75" z="0"/>
			<loc x="4200" y="75" z="100"/>-->

		</obstacle>
    <obstacle>
      <path>rope_bridge.dat</path>
      <loc x="4050" y="123.945" z="50"/>
    </obstacle>
    <obstacle>
      <path>brick_wall_back.dat</path>
      <loc x="4250" y="275" z="-50"/>
    </obstacle>
    <obstacle>
      <path>brick_wall_front.dat</path>
      <loc x="4250" y="275" z="150"/>
    </obstacle>
    <obstacle>
      <path>brick_wall_right.dat</path>
      <loc x="4350" y="275" z="50"/>
    </obstacle>
		<obstacle>
			<path>tree.dat</path>
			<loc x="100" y="37.9" z="0"/>
			<loc x="250" y="37.9" z="-99"/>
			<loc x="350" y="37.9" z="-99"/>
			<loc x="450" y="37.9" z="-99"/>

			<loc x="250" y="37.9" z="200"/>
			<loc x="350" y="37.9" z="200"/>
			<loc x="450" y="37.9" z="200"/>
			
			<loc x="3800" y="162.9" z="0"/>
			<loc x="3900" y="162.9" z="0"/>
			
			<loc x="3800" y="162.9" z="100"/>
			<loc x="3900" y="162.9" z="100"/>
		</obstacle>
		<obstacle>
			<path>zoo_sign.dat</path>
			<loc x="10" y="7.5" z="0"/>
		</obstacle>
		<obstacle>
		  <path>tree_collides.dat</path>
		  <loc x="350" y="37.9" z="49.8"/>
		  <loc x="1800" y="62.9" z="-40"/>
		</obstacle>
	</obstaclelist>
  <bosslist>
    <obstacle>
      <path>brick_wall_left.dat</path>
      <loc x="4150" y="275" z="50"/>
    </obstacle>
  </bosslist>
  <decorationlist>
    <decoration>
      <path>zoo_sky_front.dat</path>
      <loc x="5500" y="80" z="350"/>
    </decoration>
    <decoration>
      <path>zoo_sky_back.dat</path>
      <loc x="5500" y="80" z="-250"/>
    </decoration>
    <decoration>
      <path>zoo_sky_end.dat</path>
      <loc x="11000" y="80" z="50"/>
    </decoration>
    <decoration>
      <path>zoo_sky_top.dat</path>
      <loc x="5500" y="600" z="50"/>
    </decoration>
  </decorationlist>
  <!--
  <decorationlist>
		<decoration>
			<path>zoo_end_background.dat</path>
			<loc x="6000" y="75" z="50"/>
		</decoration>
	</decorationlist>
  -->
</level>
